250	-204	-131	-174	-143	-178	-1036	-2440	-1939	-2415	-2086	-1975	-1554	-1755	-74	78	775	1316	411	1936	2614	2345	2078	1276	485	164	-123	-137	86	15	-48	27	46	39	60	-1405	-444	-169	-235	-81	-78	
110	7	-141	-288	-351	-385	-2139	-3354	-2648	-2620	-1645	-1645	-1397	-1614	34	245	756	496	478	1354	2671	2814	3409	2569	581	520	-162	-84	9	27	-29	-155	25	43	-228	-952	-89	-71	-23	-76	32	
-67	-139	-285	-425	-585	-1912	-2801	-3811	-2837	-2352	-1110	-1724	-1444	-1378	69	113	568	174	243	509	2539	2626	4365	3468	1805	754	112	147	58	57	-31	-177	-192	-117	-316	-858	-184	-108	-81	-31	17	
-20	-270	-433	-617	-1007	-2511	-4693	-3968	-1954	-1186	-266	-444	-636	-1063	-141	26	52	-15	182	121	1451	1689	3409	3880	3415	2224	277	320	69	37	25	-192	-287	0	-184	-206	-52	-96	-30	-78	-206	
-69	-441	-590	-601	-2437	-4718	-4440	-3354	-773	-651	122	-170	-222	-569	-37	-259	-222	-244	87	-207	869	1332	3615	3337	4220	3478	895	825	325	285	99	-170	-170	-120	20	284	51	-65	-23	-45	-441	
54	-554	-882	-1167	-2642	-4986	-4267	-2156	-355	-400	1374	192	267	-237	69	-662	-717	-1219	-236	-1122	312	165	1441	2363	5625	4077	2822	2171	407	326	259	-50	-136	-74	103	247	46	-23	51	-49	-147	
-265	-392	-536	-745	-4046	-5569	-3400	-1573	34	-230	1713	733	2490	715	148	-898	-1314	-2115	-371	-2080	-30	-310	442	1464	6411	5611	3870	2826	666	354	242	-15	-60	-67	-30	310	129	-52	-140	-52	-124	
-630	-391	-125	-1466	-5654	-5774	-1950	-959	917	-52	2033	1963	4147	1952	409	-772	-3358	-3514	-2099	-2473	-561	-939	-30	995	6486	6772	5404	3686	321	265	77	-22	-89	-103	25	310	215	34	-88	-89	-45	
-225	-415	-581	-765	-6206	-6026	-600	-785	483	113	3070	2529	6370	2630	165	-929	-3751	-5730	-3969	-3085	-413	-1363	-465	414	5943	6884	5965	3443	863	311	129	119	311	-177	-74	-15	310	-125	-118	-118	-67	
-256	-191	-1443	-1357	-6442	-5443	-201	-333	1690	524	4013	3546	7161	3552	515	-898	-3609	-6453	-4519	-3478	-813	-1552	-288	-23	6018	7202	6601	2826	433	265	103	178	124	-199	-72	155	114	-66	-60	-8	163	
-506	-251	-691	-1330	-6947	-5348	-267	131	1313	402	4484	4771	7707	3665	1794	-772	-3798	-7475	-5179	-3651	-1944	-1693	-398	104	5288	7521	7106	3518	1312	216	164	191	207	-83	-20	172	198	23	-45	-492	-80	
-220	-366	-786	-2363	-6159	-5538	-563	157	954	332	3297	4488	6615	3270	1173	-1118	-2792	-6689	-4488	-3227	-1928	-1301	-111	130	5980	7539	6769	2676	1517	60	95	216	104	-169	-96	115	142	8	-111	-207	-95	
-53	-205	-663	-704	-5197	-5947	-579	-296	367	139	2957	3226	5089	2442	1361	-1244	-2603	-5353	-2775	-2834	-693	-1144	729	251	7104	7745	5909	2377	1536	-74	121	121	164	-13	-96	17	250	-74	-140	-126	34	
-179	-365	-732	-1316	-4597	-5270	-1083	-318	-45	-163	2335	1002	4034	340	1230	-631	-2116	-3624	-984	-1561	-539	-547	879	1051	6392	7109	4693	2246	666	-155	-155	-37	61	51	-137	-448	92	-45	-181	28	73	
-317	-343	-453	-569	-4392	-5191	-2644	-1589	-259	24	940	-60	2659	-37	1079	-60	-340	-1455	-119	-1012	17	-266	1553	1389	6636	5742	2523	1648	502	-59	-100	-67	-37	-147	-253	-177	120	215	-21	25	-94	
-251	-264	-525	-1847	-3541	-4844	-4078	-2251	-820	-422	235	-732	654	-355	697	105	-60	-763	234	-295	417	121	2997	2513	7010	4320	1120	398	320	173	-118	-30	8	-147	-167	-125	457	319	140	344	-184	
-20	-474	-1046	-673	-2216	-4229	-3920	-3732	-2238	-1344	-244	-1251	296	-1157	261	-155	322	-281	339	43	1376	608	3971	3356	5943	2617	312	43	80	-162	-221	-67	-40	-95	-140	146	357	-8	222	222	-30	
31	-290	-580	-634	-1128	-3204	-4299	-4661	-2285	-2037	-732	-2023	296	-1614	-375	-222	207	34	1537	1129	2295	2626	4665	2887	4688	988	43	8	12	-30	-113	-125	69	-52	-228	-155	30	-6	241	23	-257	
-245	-126	-348	-507	-304	-2243	-2833	-3842	-3924	-2651	-1724	-2086	26	-1645	78	-200	171	95	2589	2518	2671	2964	4402	2850	3022	173	-9	-12	-8	-63	-74	-155	86	-184	-168	-52	-114	-29	81	-111	-109	
-70	-244	-263	-257	-261	-777	-2234	-3432	-3467	-2887	-3031	-2243	-421	-1503	-207	-15	583	243	1706	3813	2689	2082	3446	2194	812	176	26	-37	-47	-35	0	-177	-5	-177	-206	8	-147	-261	-41	-52	-111	
39	-79	-115	-112	-45	-230	-1635	-2975	-2648	-2919	-2622	-2212	-303	-1362	-89	116	409	696	2289	3193	2633	1932	2566	1089	295	95	-23	-67	-57	-30	-100	-15	-12	-111	-82	43	25	-96	68	-177	-121	
-298	-247	-120	-31	87	-30	-516	-1857	-2080	-1738	-2118	-1424	-163	-937	-89	-148	243	574	2063	2011	1545	1314	1666	489	70	-67	-30	-192	-81	-52	-148	-30	86	-309	-52	86	-142	-214	-134	-272	17	
-397	-40	-204	-92	-8	-67	-89	-1069	-946	-604	-1346	-889	-15	-503	95	-170	217	365	993	1316	738	788	616	190	-103	-243	-218	-339	-126	-243	-137	138	-12	-114	-74	215	-120	-257	-118	70	110	
-219	-14	-151	-15	40	-148	-126	-252	-400	-336	-473	-685	-274	-281	279	27	148	209	429	452	17	364	269	-118	-216	-258	-258	-233	-52	-89	-72	-23	-55	-59	-133	-90	-294	-214	-157	0	171	
